geoid,name,pop
0500000US29021,"Buchanan County, Missouri",67215
0500000US29031,"Cape Girardeau County, Missouri",61837
0500000US29037,"Cass County, Missouri",80433
0500000US29043,"Christian County, Missouri",64604
0500000US29047,"Clay County, Missouri",185869
0500000US29051,"Cole County, Missouri",58122
0500000US29071,"Franklin County, Missouri",80371
0500000US29077,"Greene County, Missouri",228902
0500000US29095,"Jackson County, Missouri",518680
0500000US29097,"Jasper County, Missouri",87239
0500000US29099,"Jefferson County, Missouri",172245
0500000US29165,"Platte County, Missouri",78629
0500000US29183,"St. Charles County, Missouri",301999
0500000US29187,"St. Francois County, Missouri",53332
0500000US29189,"St. Louis County, Missouri",749991
0500000US29510,"St. Louis city, Missouri",232756
0500000US30013,"Cascade County, Montana",62825
0500000US30029,"Flathead County, Montana",79907
0500000US30031,"Gallatin County, Montana",91029
0500000US30049,"Lewis and Clark County, Montana",55168
0500000US30063,"Missoula County, Montana",96101
0500000US30111,"Yellowstone County, Montana",122103
0500000US31055,"Douglas County, Nebraska",394355
0500000US31109,"Lancaster County, Nebraska",235253
0500000US31153,"Sarpy County, Nebraska",132564
0500000US32003,"Clark County, Nevada",1514146
0500000US32031,"Washoe County, Nevada",337075
0500000US33005,"Cheshire County, New Hampshire",61409
0500000US33009,"Grafton County, New Hampshire",71814
0500000US33011,"Hillsborough County, New Hampshire",316423
0500000US33013,"Merrimack County, New Hampshire",119699
0500000US33015,"Rockingham County, New Hampshire",244454
0500000US33017,"Strafford County, New Hampshire",104885
0500000US34001,"Atlantic County, New Jersey",191437
0500000US34003,"Bergen County, New Jersey",647514
0500000US34005,"Burlington County, New Jersey",339881
0500000US34007,"Camden County, New Jersey",371846
0500000US34009,"Cape May County, New Jersey",73000
0500000US34011,"Cumberland County, New Jersey",103230
0500000US34013,"Essex County, New Jersey",514442
0500000US34015,"Gloucester County, New Jersey",223939
0500000US34017,"Hudson County, New Jersey",399934
0500000US34019,"Hunterdon County, New Jersey",95513
0500000US34021,"Mercer County, New Jersey",248119
0500000US34023,"Middlesex County, New Jersey",554767
0500000US34025,"Monmouth County, New Jersey",466239
0500000US34027,"Morris County, New Jersey",353838
0500000US34029,"Ocean County, New Jersey",445392
0500000US34031,"Passaic County, New Jersey",316823
0500000US34033,"Salem County, New Jersey",48968
0500000US34035,"Somerset County, New Jersey",229144
0500000US34037,"Sussex County, New Jersey",110863
0500000US34039,"Union County, New Jersey",353821
0500000US34041,"Warren County, New Jersey",81420
0500000US35001,"Bernalillo County, New Mexico",499052
0500000US35005,"Chaves County, New Mexico",43986
0500000US35013,"Doña Ana County, New Mexico",150744
0500000US35025,"Lea County, New Mexico",40528
0500000US35031,"McKinley County, New Mexico",50774
0500000US35035,"Otero County, New Mexico",46639
0500000US35043,"Sandoval County, New Mexico",110959
0500000US35045,"San Juan County, New Mexico",90506
0500000US35049,"Santa Fe County, New Mexico",113975
0500000US35061,"Valencia County, New Mexico",58246
0500000US36001,"Albany County, New York",237600
0500000US36005,"Bronx County, New York",860883
0500000US36007,"Broome County, New York",148107
0500000US36009,"Cattaraugus County, New York",58996
0500000US36011,"Cayuga County, New York",61208
0500000US36013,"Chautauqua County, New York",100398
0500000US36015,"Chemung County, New York",65307
0500000US36019,"Clinton County, New York",64462
0500000US36027,"Dutchess County, New York",226846
0500000US36029,"Erie County, New York",710662
0500000US36045,"Jefferson County, New York",82135
0500000US36047,"Kings County, New York",1666176
0500000US36051,"Livingston County, New York",50625
0500000US36053,"Madison County, New York",56703
0500000US36055,"Monroe County, New York",568489
0500000US36059,"Nassau County, New York",977858
0500000US36061,"New York County, New York",1203078
0500000US36063,"Niagara County, New York",164569
0500000US36065,"Oneida County, New York",173448
0500000US36067,"Onondaga County, New York",348868
0500000US36069,"Ontario County, New York",86510
0500000US36071,"Orange County, New York",274459
0500000US36075,"Oswego County, New York",91581
0500000US36079,"Putnam County, New York",74413
0500000US36081,"Queens County, New York",1388231
0500000US36083,"Rensselaer County, New York",122890
0500000US36085,"Richmond County, New York",339044
